City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ballina,AU,-28.8667,153.5667,62.78,59,0,11.5,clear sky
80,Olinda,BR,-8.0089,-34.8553,71.33,94,75,13.15,broken clouds
81,Sobolevo,RU,54.4299,31.8996,53.47,87,100,4.72,light rain
82,Banda Aceh,ID,5.5577,95.3222,83.23,69,48,11.3,scattered clouds
83,Mizdah,LY,31.4451,12.9801,79.02,20,88,8.63,overcast clouds
84,Severo-Kurilsk,RU,50.6789,156.125,40.62,78,66,10.71,broken clouds
85,Nanortalik,GL,60.1432,-45.2371,41.99,74,78,1.9,broken clouds
86,Pangnirtung,CA,66.1451,-65.7125,30.27,93,84,0.74,broken clouds
87,Fort Nelson,CA,58.8053,-122.7002,62.19,29,75,4.61,broken clouds
88,Fredericksburg,US,38.3032,-77.4605,79.72,58,90,5.97,overcast clouds
89,Safita,SY,34.8205,36.1153,73.83,86,7,1.03,clear sky
90,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,41,24,10.18,few clouds
91,Pevek,RU,69.7008,170.3133,37.4,71,56,1.45,broken clouds
92,Te Anau,NZ,-45.4167,167.7167,42.53,91,100,2.33,overcast clouds
93,New Norfolk,AU,-42.7826,147.0587,46.0,71,32,1.99,scattered clouds
94,Salalah,OM,17.0151,54.0924,82.4,83,40,4.61,scattered clouds
95,Matagami,CA,49.7502,-77.6328,33.8,55,90,10.36,overcast clouds
96,Iqaluit,CA,63.7506,-68.5145,33.53,74,75,11.01,broken clouds
97,Aitape,PG,-3.1374,142.3475,84.61,70,92,2.84,overcast clouds
98,Chenzhou,CN,25.8,113.0333,78.21,87,90,3.83,overcast clouds
99,Troitsko-Pechorsk,RU,62.7084,56.1964,38.19,97,100,4.14,overcast clouds
100,Lokosovo,RU,61.1333,74.8167,39.11,54,18,12.21,few clouds
101,Kampong Chhnang,KH,12.1667,104.55,77.7,85,99,3.62,overcast clouds
102,Hingatungan,PH,10.584,125.1852,84.15,74,93,1.41,overcast clouds
103,Hay River,CA,60.8156,-115.7999,57.18,44,75,8.05,broken clouds
104,Sola,VU,-13.8833,167.55,83.07,61,75,0.0,broken clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,75,12.66,light snow
106,Nikolskoye,RU,59.7035,30.7861,50.4,98,77,5.19,broken clouds
107,Kalabo,ZM,-14.97,22.6814,52.02,39,0,4.83,clear sky
108,Zarubino,RU,42.63,131.0922,51.84,85,100,7.23,overcast clouds
109,Husavik,IS,66.0449,-17.3389,42.71,51,29,11.97,scattered clouds
110,Klaksvik,FO,62.2266,-6.589,44.6,81,90,16.11,overcast clouds
111,Port Blair,IN,11.6667,92.75,83.19,77,71,6.96,broken clouds
112,Khandyga,RU,62.6667,135.6,63.27,31,26,3.8,scattered clouds
113,Ponta Do Sol,PT,32.6667,-17.1,61.0,84,42,5.99,scattered clouds
114,Kailua,US,21.4022,-157.7394,87.78,64,90,10.36,overcast clouds
115,Effingham,US,32.3669,-81.3332,87.12,64,67,7.87,broken clouds
116,Bluff,NZ,-46.6,168.3333,49.8,87,100,8.95,overcast clouds
117,Micheweni,TZ,-4.9667,39.8333,76.46,79,61,11.95,broken clouds
118,Talnakh,RU,69.4865,88.3972,19.69,80,54,1.88,broken clouds
119,Tuatapere,NZ,-46.1333,167.6833,49.82,89,100,2.8,overcast clouds
120,Crestview,US,30.7621,-86.5705,81.12,70,1,5.99,clear sky
121,Kupang,ID,-10.1667,123.5833,79.38,69,20,14.97,few clouds
122,Atuona,PF,-9.8,-139.0333,78.93,73,11,13.98,few clouds
123,Guerrero Negro,MX,27.9769,-114.0611,63.45,67,0,22.7,clear sky
124,Russell,US,32.3502,-85.1999,82.0,75,90,4.16,overcast clouds
125,Hambantota,LK,6.1241,81.1185,79.14,100,20,21.88,few clouds
126,Dali,CN,25.7,100.1833,64.74,88,93,4.16,overcast clouds
127,East London,ZA,-33.0153,27.9116,62.29,78,73,10.27,broken clouds
128,Gondar,ET,12.6,37.4667,64.98,55,19,3.83,few clouds
129,Lloydminster,CA,53.2835,-110.0016,71.82,30,75,17.27,broken clouds
130,Homer,US,59.6425,-151.5483,63.09,63,1,10.36,clear sky
131,Qaanaaq,GL,77.484,-69.3632,38.19,72,100,7.63,overcast clouds
132,Kununurra,AU,-15.7667,128.7333,77.0,27,33,14.97,scattered clouds
133,Antofagasta,CL,-23.65,-70.4,58.28,84,23,2.89,few clouds
134,Coquimbo,CL,-29.9533,-71.3436,53.6,87,0,6.91,clear sky
135,Timberlake,US,37.3207,-79.2575,78.84,65,1,0.0,clear sky
136,Katobu,ID,-4.9408,122.5276,79.84,79,64,8.08,broken clouds
137,North Bend,US,43.4065,-124.2243,63.99,68,90,11.5,overcast clouds
138,Lorengau,PG,-2.0226,147.2712,83.34,75,84,6.51,broken clouds
139,Portree,GB,57.4129,-6.1942,50.86,71,100,3.47,overcast clouds
140,Armidale,AU,-30.5167,151.65,46.99,69,0,3.0,clear sky
141,Nagato,JP,34.3833,131.2,72.05,69,28,11.34,scattered clouds
142,Lerwick,GB,60.1545,-1.1494,46.4,89,27,8.12,scattered clouds
143,Batemans Bay,AU,-35.7167,150.1833,54.99,52,99,13.62,overcast clouds
144,Praia Da Vitoria,PT,38.7333,-27.0667,57.99,77,20,9.15,few clouds
145,Wucheng,CN,29.6008,118.175,74.89,80,95,6.04,light rain
146,Salisbury,GB,51.0693,-1.7957,52.48,77,75,2.3,broken clouds
147,Shitkino,RU,56.3703,98.3543,48.09,56,100,9.66,overcast clouds
148,Mount Gambier,AU,-37.8333,140.7667,51.71,87,90,1.14,overcast clouds
149,Lagoa,PT,39.05,-27.9833,58.64,58,99,6.08,overcast clouds
150,Hwange,ZW,-18.3693,26.5019,55.51,57,0,2.15,clear sky
151,Lebu,CL,-37.6167,-73.65,53.49,85,3,10.56,clear sky
152,Oktyabrskiy,RU,54.4815,53.471,48.74,87,0,2.28,clear sky
153,Esil,KZ,51.9556,66.4042,55.29,65,0,7.36,clear sky
154,Anadyr,RU,64.75,177.4833,43.3,56,0,4.38,clear sky
155,Santo Tomas,PH,14.1079,121.1414,89.85,66,98,5.53,overcast clouds
156,Bredasdorp,ZA,-34.5322,20.0403,63.28,55,95,8.01,overcast clouds
